2023-12-30 16:12:563 INFO  HomePage :24 - Clicking on header menu option : java.util.stream.ReferencePipeline$Head@512575e9
2023-12-30 16:12:320 INFO  HomePage :24 - Clicking on header menu option : java.util.stream.ReferencePipeline$Head@1c8f6a90
2023-12-30 16:12:374 INFO  HomePage :19 - Getting text as a new user signup : Proxy element for: DefaultElementLocator 'By.xpath: //h2[normalize-space()='New User Signup!']'
2023-12-30 16:12:448 INFO  HomePage :24 - Clicking on header menu option : java.util.stream.ReferencePipeline$Head@3050ac2f
2023-12-30 16:12:519 INFO  HomePage :28 - Getting text as a new user signup : Proxy element for: DefaultElementLocator 'By.xpath: //h2[normalize-space()='New User Signup!']'
2023-12-30 16:12:163 INFO  HomePage :24 - Clicking on header menu option : java.util.stream.ReferencePipeline$Head@2e869098
2023-12-30 16:12:232 INFO  HomePage :28 - Getting text as a new user signup : Proxy element for: DefaultElementLocator 'By.xpath: //h2[normalize-space()='New User Signup!']'
2023-12-30 16:12:488 INFO  HomePage :24 - Clicking on header menu option : java.util.stream.ReferencePipeline$Head@3050ac2f
2023-12-30 16:12:590 INFO  HomePage :28 - Getting text as a new user signup : Proxy element for: DefaultElementLocator 'By.xpath: //h2[normalize-space()='New User Signup!']'
2023-12-30 16:12:866 INFO  HomePage :24 - Clicking on header menu option : java.util.stream.ReferencePipeline$Head@7e0bc8a3
2023-12-30 16:12:998 INFO  HomePage :46 - Getting text as a new user signup : Proxy element for: DefaultElementLocator 'By.xpath: //h2[normalize-space()='New User Signup!']'
2023-12-30 16:12:597 INFO  HomePage :24 - Clicking on header menu option : java.util.stream.ReferencePipeline$Head@18578491
2023-12-30 16:12:698 INFO  HomePage :46 - Getting text as a new user signup : Proxy element for: DefaultElementLocator 'By.xpath: //h2[normalize-space()='New User Signup!']'
2023-12-30 16:12:529 INFO  HomePage :24 - Clicking on header menu option : java.util.stream.ReferencePipeline$Head@1caa9eb6
2023-12-30 16:12:580 INFO  HomePage :46 - Getting text as a new user signup : Proxy element for: DefaultElementLocator 'By.xpath: //h2[normalize-space()='New User Signup!']'
2023-12-30 16:12:579 INFO  HomePage :24 - Clicking on header menu option : java.util.stream.ReferencePipeline$Head@5793b87
2023-12-30 16:12:704 INFO  HomePage :46 - Getting text as a new user signup : Proxy element for: DefaultElementLocator 'By.xpath: //h2[normalize-space()='New User Signup!']'
2023-12-30 16:12:242 INFO  HomePage :24 - Clicking on header menu option : java.util.stream.ReferencePipeline$Head@33063f5b
2023-12-30 16:12:317 INFO  HomePage :61 - Getting text as New User Signup! : Proxy element for: DefaultElementLocator 'By.xpath: //h2[normalize-space()='New User Signup!']'
2023-12-30 17:12:493 INFO  HomePage :24 - Clicking on header menu option : java.util.stream.ReferencePipeline$Head@70730db
2023-12-30 17:12:564 INFO  HomePage :61 - Getting text as New User Signup! : Proxy element for: DefaultElementLocator 'By.xpath: //h2[normalize-space()='New User Signup!']'
2023-12-30 17:12:480 INFO  HomePage :24 - Clicking on header menu option : java.util.stream.ReferencePipeline$Head@5a034157
2023-12-30 17:12:542 INFO  HomePage :61 - Getting text as New User Signup! : Proxy element for: DefaultElementLocator 'By.xpath: //h2[normalize-space()='New User Signup!']'
2023-12-30 17:12:897 INFO  HomePage :24 - Clicking on header menu option : java.util.stream.ReferencePipeline$Head@2dd0f797
2023-12-30 17:12:974 INFO  HomePage :61 - Getting text as New User Signup! : Proxy element for: DefaultElementLocator 'By.xpath: //h2[normalize-space()='New User Signup!']'
2023-12-30 17:12:154 INFO  HomePage :24 - Clicking on header menu option : java.util.stream.ReferencePipeline$Head@4b0f2299
2023-12-30 17:12:224 INFO  HomePage :61 - Getting text as New User Signup! : Proxy element for: DefaultElementLocator 'By.xpath: //h2[normalize-space()='New User Signup!']'
2023-12-30 17:12:291 INFO  HomePage :24 - Clicking on header menu option : java.util.stream.ReferencePipeline$Head@4483d35
2023-12-30 17:12:340 INFO  HomePage :61 - Getting text as New User Signup! : Proxy element for: DefaultElementLocator 'By.xpath: //h2[normalize-space()='New User Signup!']'
